Année de naissance;Age-année;Age-mois;Trimestres requis;Age-tx-plein-annee;Age-tx-plein-mois
1948;60;0;160;65;0
1949;60;0;161;65;0
1950;60;0;162;65;0
1951;60;0;163;65;0
1952;60;9;164;65;9
1953;61;2;165;66;2
1954;61;7;165;66;7
1955;62;0;166;67;0
1956;62;0;166;67;0
1957;62;0;166;67;0
1958;62;0;167;67;0
1959;62;0;167;67;0
1960;62;0;167;67;0
1961;62;0;168;67;0
1962;62;6;169;67;0
1963;62;9;170;67;0
1964;63;0;171;67;0
1965;63;3;172;67;0
1966;63;6;172;67;0
1967;63;9;172;67;0
1968;64;0;172;67;0
1969;64;0;172;67;0
1970;64;0;172;67;0
1971;64;0;172;67;0
1972;64;0;172;67;0
1973;64;0;172;67;0
1974;64;0;172;67;0
1975;64;0;172;67;0
1976;64;0;172;67;0
1977;64;0;172;67;0
1978;64;0;172;67;0
1979;64;0;172;67;0
1980;64;0;172;67;0
1981;64;0;172;67;0
1982;64;0;172;67;0
1983;64;0;172;67;0
1984;64;0;172;67;0
1985;64;0;172;67;0
1986;64;0;172;67;0
1987;64;0;172;67;0
1988;64;0;172;67;0
1989;64;0;172;67;0
1990;64;0;172;67;0
1991;64;0;172;67;0
1992;64;0;172;67;0
1993;64;0;172;67;0
1994;64;0;172;67;0
1995;64;0;172;67;0
1996;64;0;172;67;0
1997;64;0;172;67;0
1998;64;0;172;67;0
1999;64;0;172;67;0
2000;64;0;172;67;0
2001;64;0;172;67;0
2002;64;0;172;67;0
2003;64;0;172;67;0
2004;64;0;172;67;0
2005;64;0;172;67;0
2006;64;0;172;67;0
2007;64;0;172;67;0
2008;64;0;172;67;0
2009;64;0;172;67;0
2010;64;0;172;67;0
2011;64;0;172;67;0
2012;64;0;172;67;0
2013;64;0;172;67;0
2014;64;0;172;67;0
